"","NUME","CMR","Data","Temp"
"218","Satu Mare","TransilvaniaN","X1962.01.01",9.37068271636963
"219","Radauti","Moldova","X1962.01.01",7.00833320617676
"220","Sighetul Marmatiei","TransilvaniaN","X1962.01.01",7.38560104370117
"221","Zimnicea","Muntenia","X1963.01.01",10.797945022583
"222","Turnu Magurele","Muntenia","X1963.01.01",10.3816165924072
"223","Bechet","Oltenia","X1963.01.01",10.8636436462402
"224","Mangalia","Dobrogea","X1963.01.01",11.279616355896
"225","Giurgiu","Muntenia","X1963.01.01",10.7798900604248
"226","Calafat","Oltenia","X1963.01.01",11.1049318313599
"227","Alexandria","Muntenia","X1963.01.01",10.7259721755981
"228","Bailesti","Oltenia","X1963.01.01",10.9264106750488
"229","Caracal","Oltenia","X1963.01.01",10.548246383667
"230","Rosiori de Vede","Muntenia","X1963.01.01",10.5084114074707
"231","Calarasi","Dobrogea","X1963.01.01",10.6015892028809
"232","Constanta","Dobrogea","X1963.01.01",11.2323560714722
"233","Craiova","Oltenia","X1963.01.01",10.3005752563477
"234","Medgidia","Dobrogea","X1963.01.01",10.8999176025391
"235","Videle","Muntenia","X1963.01.01",10.2766571044922
"236","Slatina","Oltenia","X1963.01.01",10.3521642684937
"237","Baneasa","Muntenia","X1963.01.01",10.3709859848022
"238","Slobozia","Dobrogea","X1963.01.01",10.4339179992676
"239","Stolnici","Muntenia","X1963.01.01",9.97778129577637
"240","Drobeta Turnu-Severin","Oltenia","X1963.01.01",11.0241098403931
"241","Titu","Muntenia","X1963.01.01",10.0063009262085
"242","Urziceni","Muntenia","X1963.01.01",10.3851509094238
"243","Moldova Veche","Banat-Crisana","X1963.01.01",11.1976709365845
"244","Dragasani","Oltenia","X1963.01.01",9.87956142425537
"245","Grivita","Dobrogea","X1963.01.01",10.2886028289795
"246","Jurilovca","Dobrogea","X1963.01.01",11.1044931411743
"247","Pitesti","Muntenia","X1963.01.01",9.63887691497803
"248","Tg. Logresti","Oltenia","X1963.01.01",9.67147922515869
"249","Sf. Gheorghe","Dobrogea","X1963.01.01",11.3682193756104
"250","Targoviste","Muntenia","X1963.01.01",9.6465482711792
"251","Ploiesti","Muntenia","X1963.01.01",10.077862739563
"252","Moraresti","Muntenia","X1963.01.01",9.07219219207764
"253","Apa Neagra","Oltenia","X1963.01.01",10.106822013855
"254","Oravita","Banat-Crisana","X1963.01.01",10.3701372146606
"255","Tg. Jiu","Oltenia","X1963.01.01",9.95969867706299
"256","Ramnicu Valcea","Oltenia","X1963.01.01",9.30065727233887
"257","Semenic","Banat-Crisana","X1963.01.01",6.03660297393799
"258","Curtea de Arges","Muntenia","X1963.01.01",8.74183559417725
"259","Buzau","Muntenia","X1963.01.01",10.3599452972412
"260","Sulina","Dobrogea","X1963.01.01",11.2548770904541
"261","Tulcea","Dobrogea","X1963.01.01",10.7015342712402
"262","Gorgova","Dobrogea","X1963.01.01",10.9266300201416
"263","Braila","Dobrogea","X1963.01.01",10.3620004653931
"264","Tarcu","Banat-Crisana","X1963.01.01",5.02021932601929
"265","Campulung Muscel","Muntenia","X1963.01.01",7.86953401565552
"266","Resita","Banat-Crisana","X1963.01.01",10.2218084335327
"267","Patarlagele","Muntenia","X1963.01.01",8.64799976348877
"268","Banloc","Banat-Crisana","X1963.01.01",10.7505207061768
"269","Parang","Oltenia","X1963.01.01",6.1656436920166
"270","Sinaia 1500","Muntenia","X1963.01.01",4.64531517028809
"271","Ramnicu Sarat","Muntenia","X1963.01.01",9.98512363433838
"272","Caransebes","Banat-Crisana","X1963.01.01",10.1098899841309
"273","Petrosani","Oltenia","X1963.01.01",6.71989059448242
"274","Vf. Omu","Muntenia","X1963.01.01",4.64531517028809
"275","Fundata","Muntenia","X1963.01.01",3.82509589195251
"276","Predeal","Muntenia","X1963.01.01",4.54057550430298
"277","Galati","Moldova","X1963.01.01",10.1882190704346
"278","Lugoj","Banat-Crisana","X1963.01.01",10.1936712265015
"279","Intorsura Buzaului","Muntenia","X1963.01.01",6.02400016784668
"280","Focsani","Moldova","X1963.01.01",10.0652055740356
"281","Brasov","TransilvaniaS","X1963.01.01",7.57961654663086
"282","Timisoara","Banat-Crisana","X1963.01.01",10.2776985168457
"283","Sibiu","TransilvaniaS","X1963.01.01",8.56210994720459
"284","Fagaras","TransilvaniaS","X1963.01.01",8.26106834411621
"285","Lacauti","TransilvaniaS","X1963.01.01",2.54463005065918
"286","Tecuci","Moldova","X1963.01.01",9.914794921875
